probe	HUGO.gene.symbol
Contig16410_RC	Contig16410_RC	NA
Contig16413_RC	Contig16413_RC	NA
Contig16415_RC	Contig16415_RC	NA
Contig16416_RC	Contig16416_RC	EFHA2
Contig16417_RC	Contig16417_RC	NA
Contig16422_RC	Contig16422_RC	NA
Contig16426_RC	Contig16426_RC	NA
Contig16429_RC	Contig16429_RC	NA
Contig16437_RC	Contig16437_RC	NA
Contig16440_RC	Contig16440_RC	NA
Contig16441_RC	Contig16441_RC	NA
Contig16447_RC	Contig16447_RC	C16orf44
Contig16450_RC	Contig16450_RC	NA
Contig16453_RC	Contig16453_RC	CAPN13
Contig16474_RC	Contig16474_RC	NA
Contig16476_RC	Contig16476_RC	NA
Contig16479_RC	Contig16479_RC	NA
Contig16481_RC	Contig16481_RC	NA
Contig16483_RC	Contig16483_RC	NA
Contig16490_RC	Contig16490_RC	NA
Contig16494_RC	Contig16494_RC	NA
Contig16495_RC	Contig16495_RC	NA
Contig16496_RC	Contig16496_RC	NA
Contig16500_RC	Contig16500_RC	NA
Contig16507_RC	Contig16507_RC	NA
Contig16511_RC	Contig16511_RC	NA
Contig16519_RC	Contig16519_RC	NA
Contig16521_RC	Contig16521_RC	NA
Contig16527_RC	Contig16527_RC	NA
Contig16529_RC	Contig16529_RC	KCNIP1
Contig16530_RC	Contig16530_RC	NA
Contig16531_RC	Contig16531_RC	NA
Contig16538_RC	Contig16538_RC	NA
Contig16540_RC	Contig16540_RC	NA
Contig16557_RC	Contig16557_RC	NA
Contig16568_RC	Contig16568_RC	NA
Contig16573_RC	Contig16573_RC	NA
Contig16574_RC	Contig16574_RC	NA
Contig16582_RC	Contig16582_RC	NA
Contig16588_RC	Contig16588_RC	CBLN4
Contig16589_RC	Contig16589_RC	NA
Contig16593_RC	Contig16593_RC	NA
Contig16595_RC	Contig16595_RC	NA
Contig16596_RC	Contig16596_RC	NA
Contig16597_RC	Contig16597_RC	NA
Contig16602_RC	Contig16602_RC	C15orf43
Contig16605_RC	Contig16605_RC	NA
Contig16607_RC	Contig16607_RC	NA
Contig16625_RC	Contig16625_RC	NA
Contig16636_RC	Contig16636_RC	ASB5
Contig16637_RC	Contig16637_RC	NA
Contig16643_RC	Contig16643_RC	PRDM16
Contig16645_RC	Contig16645_RC	NA
Contig16646_RC	Contig16646_RC	NA
Contig16650_RC	Contig16650_RC	NA
Contig16654_RC	Contig16654_RC	NA
Contig16655_RC	Contig16655_RC	NA
Contig16657_RC	Contig16657_RC	NA
Contig16663_RC	Contig16663_RC	NA
Contig16672_RC	Contig16672_RC	NA
Contig16673_RC	Contig16673_RC	NA
Contig16674_RC	Contig16674_RC	NA
Contig16675_RC	Contig16675_RC	NA
Contig1667_RC	Contig1667_RC	NA
Contig16683_RC	Contig16683_RC	NA
Contig16687_RC	Contig16687_RC	NA
Contig16691_RC	Contig16691_RC	NA
Contig16692_RC	Contig16692_RC	NA
Contig16694_RC	Contig16694_RC	NA
Contig16703_RC	Contig16703_RC	NA
Contig16704_RC	Contig16704_RC	NA
Contig16712_RC	Contig16712_RC	SMTNL2
Contig16717_RC	Contig16717_RC	NA
Contig16718_RC	Contig16718_RC	NA
Contig16722_RC	Contig16722_RC	NA
Contig16723_RC	Contig16723_RC	NA
Contig16724_RC	Contig16724_RC	NA
Contig16727_RC	Contig16727_RC	NA
Contig16736_RC	Contig16736_RC	NA
Contig16740_RC	Contig16740_RC	NA
Contig16741_RC	Contig16741_RC	NA
Contig16750_RC	Contig16750_RC	CD1C
Contig16752_RC	Contig16752_RC	NA
Contig16753_RC	Contig16753_RC	NA
Contig16754_RC	Contig16754_RC	NA
Contig16756_RC	Contig16756_RC	NA
Contig16759_RC	Contig16759_RC	MICALCL
Contig16763_RC	Contig16763_RC	NA
Contig16768_RC	Contig16768_RC	NA
Contig16770_RC	Contig16770_RC	NA
Contig16772_RC	Contig16772_RC	NA
Contig16776_RC	Contig16776_RC	NA
Contig16777_RC	Contig16777_RC	NA
Contig16781_RC	Contig16781_RC	NA
Contig16784_RC	Contig16784_RC	NA
Contig16785_RC	Contig16785_RC	NA
Contig16786_RC	Contig16786_RC	NA
Contig16788_RC	Contig16788_RC	DEFB127
Contig16789_RC	Contig16789_RC	NA
Contig16793_RC	Contig16793_RC	NA
Contig16800_RC	Contig16800_RC	NA
Contig16821_RC	Contig16821_RC	NA
Contig1682_RC	Contig1682_RC	RAB11FIP1
Contig16835_RC	Contig16835_RC	NA
Contig16836_RC	Contig16836_RC	NA
Contig16839_RC	Contig16839_RC	LRRC52
Contig16840_RC	Contig16840_RC	NA
Contig16845_RC	Contig16845_RC	NA
Contig16858_RC	Contig16858_RC	NA
Contig16861_RC	Contig16861_RC	NA
Contig16862_RC	Contig16862_RC	NA
Contig16866_RC	Contig16866_RC	NA
Contig16868_RC	Contig16868_RC	NA
Contig16873_RC	Contig16873_RC	NA
Contig16874_RC	Contig16874_RC	NA
Contig16876_RC	Contig16876_RC	NA
Contig16878_RC	Contig16878_RC	NA
Contig16881_RC	Contig16881_RC	NA
Contig16883_RC	Contig16883_RC	NA
Contig16889_RC	Contig16889_RC	NA
Contig16890_RC	Contig16890_RC	NA
Contig16892_RC	Contig16892_RC	NA
Contig16893_RC	Contig16893_RC	NA
Contig16895_RC	Contig16895_RC	NA
Contig16899_RC	Contig16899_RC	UBL4B
Contig16902_RC	Contig16902_RC	NA
Contig16905_RC	Contig16905_RC	FBN3
Contig16906_RC	Contig16906_RC	NA
Contig16908_RC	Contig16908_RC	NA
Contig16910_RC	Contig16910_RC	NA
Contig16913_RC	Contig16913_RC	NA
Contig16919_RC	Contig16919_RC	NA
Contig16928_RC	Contig16928_RC	NA
Contig16931_RC	Contig16931_RC	NA
Contig16934_RC	Contig16934_RC	NA
Contig16935_RC	Contig16935_RC	NA
Contig1693_RC	Contig1693_RC	NA
Contig16944_RC	Contig16944_RC	NA
Contig16946_RC	Contig16946_RC	NA
Contig16949_RC	Contig16949_RC	TIGD4
Contig16954_RC	Contig16954_RC	NA
Contig16955_RC	Contig16955_RC	NA
Contig16969_RC	Contig16969_RC	NA
Contig16972_RC	Contig16972_RC	NA
Contig16973_RC	Contig16973_RC	KIF9
Contig16974_RC	Contig16974_RC	TRPM3
Contig16978_RC	Contig16978_RC	NA
Contig1697_RC	Contig1697_RC	RTKN
Contig16983_RC	Contig16983_RC	NA
Contig16987_RC	Contig16987_RC	NA
Contig16991_RC	Contig16991_RC	NA
Contig1699_RC	Contig1699_RC	NA
Contig17006_RC	Contig17006_RC	NA
Contig17008_RC	Contig17008_RC	XDH
Contig17017_RC	Contig17017_RC	NA
Contig17024_RC	Contig17024_RC	NA
Contig17027_RC	Contig17027_RC	NA
Contig17030_RC	Contig17030_RC	NA
Contig17032_RC	Contig17032_RC	NA
Contig17040_RC	Contig17040_RC	NA
Contig17043_RC	Contig17043_RC	NA
Contig17046_RC	Contig17046_RC	NA
Contig17047_RC	Contig17047_RC	NA
Contig17054_RC	Contig17054_RC	NA
Contig17056_RC	Contig17056_RC	NA
Contig17057_RC	Contig17057_RC	NA
Contig17065_RC	Contig17065_RC	FAM24A
Contig17066_RC	Contig17066_RC	NA
Contig17067_RC	Contig17067_RC	NA
Contig17074_RC	Contig17074_RC	NA
Contig17075_RC	Contig17075_RC	NA
Contig17076_RC	Contig17076_RC	NA
Contig17077_RC	Contig17077_RC	TMCO5
Contig17079_RC	Contig17079_RC	NA
Contig17084_RC	Contig17084_RC	NA
Contig17089_RC	Contig17089_RC	NA
Contig17091_RC	Contig17091_RC	NA
Contig17102_RC	Contig17102_RC	NA
Contig17103_RC	Contig17103_RC	NA
Contig17104	Contig17104	HIST1H2BA
Contig17105_RC	Contig17105_RC	MLZE
Contig17109_RC	Contig17109_RC	C20orf27
Contig17111_RC	Contig17111_RC	NA
Contig17113_RC	Contig17113_RC	NA
Contig17119_RC	Contig17119_RC	NA
Contig17125_RC	Contig17125_RC	HOXB8
Contig17127_RC	Contig17127_RC	NA
Contig17138_RC	Contig17138_RC	NA
Contig17152_RC	Contig17152_RC	NA
Contig17155_RC	Contig17155_RC	NA
Contig17159_RC	Contig17159_RC	NA
Contig17172_RC	Contig17172_RC	NA
Contig17175	Contig17175	NA
Contig17189_RC	Contig17189_RC	NA
Contig17195_RC	Contig17195_RC	NA
Contig17206_RC	Contig17206_RC	NA
Contig17208_RC	Contig17208_RC	NA
Contig17216_RC	Contig17216_RC	NA
Contig17235_RC	Contig17235_RC	NA
Contig17248_RC	Contig17248_RC	TMEM46
Contig17250_RC	Contig17250_RC	NA
Contig17254_RC	Contig17254_RC	NA
Contig17264_RC	Contig17264_RC	NA
Contig17273_RC	Contig17273_RC	NA
Contig17277_RC	Contig17277_RC	NA
Contig17288_RC	Contig17288_RC	NA
Contig17296_RC	Contig17296_RC	NA
Contig173	Contig173	DHTKD1
Contig17302_RC	Contig17302_RC	NA
Contig17316_RC	Contig17316_RC	NA
Contig17317_RC	Contig17317_RC	NA
Contig17319_RC	Contig17319_RC	CNTNAP4
Contig17322_RC	Contig17322_RC	NA
Contig17323_RC	Contig17323_RC	NA
Contig17327_RC	Contig17327_RC	NA
Contig17330_RC	Contig17330_RC	NA
Contig17332_RC	Contig17332_RC	NA
Contig17333_RC	Contig17333_RC	NA
Contig17338_RC	Contig17338_RC	NA
Contig17345_RC	Contig17345_RC	DENND1A
Contig17348_RC	Contig17348_RC	NA
Contig17350_RC	Contig17350_RC	NA
Contig17356_RC	Contig17356_RC	NA
Contig17359_RC	Contig17359_RC	NA
Contig17360_RC	Contig17360_RC	NA
Contig17362_RC	Contig17362_RC	DMRT3
Contig17367_RC	Contig17367_RC	GTPBP10
Contig17378_RC	Contig17378_RC	NA
Contig17380_RC	Contig17380_RC	NA
Contig17384_RC	Contig17384_RC	NA
Contig17394_RC	Contig17394_RC	TRIM55
Contig17396_RC	Contig17396_RC	NA
Contig17400_RC	Contig17400_RC	MRPS36
Contig17406_RC	Contig17406_RC	NA
Contig17410_RC	Contig17410_RC	NA
Contig17411_RC	Contig17411_RC	NA
Contig17413_RC	Contig17413_RC	NA
Contig17417_RC	Contig17417_RC	NA
Contig17418_RC	Contig17418_RC	NA
Contig17419_RC	Contig17419_RC	NA
Contig17421_RC	Contig17421_RC	NA
Contig17428_RC	Contig17428_RC	NA
Contig17457_RC	Contig17457_RC	NA
Contig17472_RC	Contig17472_RC	NA
Contig17475_RC	Contig17475_RC	NA
Contig17490_RC	Contig17490_RC	ZNF700
Contig17529_RC	Contig17529_RC	NA
Contig17536_RC	Contig17536_RC	NA
Contig17556_RC	Contig17556_RC	NA
Contig17558_RC	Contig17558_RC	NA
Contig1755_RC	Contig1755_RC	ZDHHC14
Contig17567_RC	Contig17567_RC	MOBP
Contig17572_RC	Contig17572_RC	NA
Contig1757_RC	Contig1757_RC	FNTB
Contig17593_RC	Contig17593_RC	NA
Contig17607_RC	Contig17607_RC	NA
Contig17630_RC	Contig17630_RC	NA
Contig17675_RC	Contig17675_RC	NA
Contig17694	Contig17694	NA
Contig176_RC	Contig176_RC	EIF2S1
Contig177	Contig177	NA
Contig1773_RC	Contig1773_RC	MRPL17
Contig17743_RC	Contig17743_RC	NA
Contig1778_RC	Contig1778_RC	NA
Contig17871_RC	Contig17871_RC	ZC3H6
Contig17889_RC	Contig17889_RC	NA
Contig1789_RC	Contig1789_RC	NA
Contig178_RC	Contig178_RC	SNTB2
Contig17915_RC	Contig17915_RC	NA
Contig17919_RC	Contig17919_RC	NA
Contig17953_RC	Contig17953_RC	NA
Contig17982_RC	Contig17982_RC	NA
Contig1798_RC	Contig1798_RC	CD200
Contig1804_RC	Contig1804_RC	C17orf32
Contig1805_RC	Contig1805_RC	TMEPAI
Contig1812_RC	Contig1812_RC	TNKS1BP1
Contig1815_RC	Contig1815_RC	NA
Contig1823	Contig1823	NA
Contig18246_RC	Contig18246_RC	NA
Contig1826_RC	Contig1826_RC	APCDD1
Contig18281_RC	Contig18281_RC	NA
Contig18286_RC	Contig18286_RC	NA
Contig1828_RC	Contig1828_RC	NA
Contig1829	Contig1829	ACADSB
Contig18292_RC	Contig18292_RC	NA
Contig18293_RC	Contig18293_RC	NA
Contig18296_RC	Contig18296_RC	NA
Contig18326_RC	Contig18326_RC	NA
Contig18373_RC	Contig18373_RC	NA
Contig18374_RC	Contig18374_RC	LYPLA3
Contig18380_RC	Contig18380_RC	NA
Contig1838_RC	Contig1838_RC	NA
Contig18413_RC	Contig18413_RC	NA
Contig18427_RC	Contig18427_RC	NA
Contig18432_RC	Contig18432_RC	NA
Contig18439_RC	Contig18439_RC	NA
Contig18451_RC	Contig18451_RC	NA
Contig18456_RC	Contig18456_RC	USP53
Contig18458_RC	Contig18458_RC	NA
Contig18462_RC	Contig18462_RC	NA
Contig1846_RC	Contig1846_RC	NA
Contig18476_RC	Contig18476_RC	NA
Contig18481_RC	Contig18481_RC	ZNF169
Contig18492_RC	Contig18492_RC	NA
Contig18493_RC	Contig18493_RC	NA
Contig18494_RC	Contig18494_RC	NA
Contig18502_RC	Contig18502_RC	RBM24
Contig18504_RC	Contig18504_RC	NA
Contig18509_RC	Contig18509_RC	NA
Contig1850_RC	Contig1850_RC	CAPS
Contig18526_RC	Contig18526_RC	NA
Contig18543_RC	Contig18543_RC	NA
Contig18557_RC	Contig18557_RC	NA
Contig18568_RC	Contig18568_RC	NA
Contig18577_RC	Contig18577_RC	NA
Contig18580_RC	Contig18580_RC	NA
Contig18585_RC	Contig18585_RC	NA
Contig18611_RC	Contig18611_RC	NA
Contig18613_RC	Contig18613_RC	NA
Contig18615_RC	Contig18615_RC	NA
Contig18616_RC	Contig18616_RC	NA
Contig18640_RC	Contig18640_RC	NA
Contig18739_RC	Contig18739_RC	NA
Contig1874_RC	Contig1874_RC	CAMK2G
Contig18763_RC	Contig18763_RC	NA
Contig18773_RC	Contig18773_RC	NA
Contig18780_RC	Contig18780_RC	NA
Contig18782_RC	Contig18782_RC	NA
Contig18787_RC	Contig18787_RC	KRTAP13-2
Contig18812_RC	Contig18812_RC	NA
Contig18826_RC	Contig18826_RC	NA
Contig18866_RC	Contig18866_RC	NA
Contig18911_RC	Contig18911_RC	NA
Contig18912_RC	Contig18912_RC	NA
Contig18967_RC	Contig18967_RC	NA
Contig1896_RC	Contig1896_RC	MRPS6
Contig18_RC	Contig18_RC	NA
Contig19012_RC	Contig19012_RC	NA
Contig19019_RC	Contig19019_RC	NA
Contig19023_RC	Contig19023_RC	NA
Contig19064_RC	Contig19064_RC	NA
Contig19089_RC	Contig19089_RC	NA
Contig19098_RC	Contig19098_RC	NA
Contig19125_RC	Contig19125_RC	NA
Contig19127_RC	Contig19127_RC	ZNF641
Contig19153_RC	Contig19153_RC	NA
Contig19166_RC	Contig19166_RC	NA
Contig19172_RC	Contig19172_RC	NA
Contig19179_RC	Contig19179_RC	NA
Contig19182_RC	Contig19182_RC	NA
Contig19191_RC	Contig19191_RC	NA
Contig19194_RC	Contig19194_RC	RAP2B
Contig19205_RC	Contig19205_RC	NA
Contig19206_RC	Contig19206_RC	NA
Contig19209_RC	Contig19209_RC	ASCL4
Contig1920_RC	Contig1920_RC	METT11D1
Contig19210_RC	Contig19210_RC	NA
Contig19213_RC	Contig19213_RC	NA
Contig19216_RC	Contig19216_RC	C10orf129
Contig19224_RC	Contig19224_RC	NA
Contig19243_RC	Contig19243_RC	NA
Contig19248_RC	Contig19248_RC	NA
Contig1924_RC	Contig1924_RC	C20orf11
Contig19284_RC	Contig19284_RC	DQX1
Contig19299_RC	Contig19299_RC	NA
Contig19301_RC	Contig19301_RC	NA
Contig19305_RC	Contig19305_RC	NA
Contig19308_RC	Contig19308_RC	NA
Contig19309_RC	Contig19309_RC	NA
Contig19324_RC	Contig19324_RC	NA
Contig1932_RC	Contig1932_RC	NA
Contig19333_RC	Contig19333_RC	NA
Contig19337_RC	Contig19337_RC	NA
Contig19340_RC	Contig19340_RC	NA
Contig19346_RC	Contig19346_RC	NA
Contig19384_RC	Contig19384_RC	NA
Contig1938_RC	Contig1938_RC	GNPTG
Contig19399_RC	Contig19399_RC	NA
Contig1940_RC	Contig1940_RC	NA
Contig19431_RC	Contig19431_RC	NA
Contig19440_RC	Contig19440_RC	NA
Contig19451_RC	Contig19451_RC	NA
Contig19452_RC	Contig19452_RC	NA
Contig19453_RC	Contig19453_RC	NA
Contig1946_RC	Contig1946_RC	TTC14
Contig19507_RC	Contig19507_RC	NA
Contig1951	Contig1951	NA
Contig19511_RC	Contig19511_RC	NA
Contig19512_RC	Contig19512_RC	NA
Contig19530_RC	Contig19530_RC	NA
Contig19551	Contig19551	NA
Contig19611_RC	Contig19611_RC	NA
Contig19623_RC	Contig19623_RC	NA
Contig19635_RC	Contig19635_RC	NA
Contig19659_RC	Contig19659_RC	NA
Contig19662_RC	Contig19662_RC	NA
Contig19666_RC	Contig19666_RC	NA
Contig19678_RC	Contig19678_RC	NA
Contig19693_RC	Contig19693_RC	NA
Contig19698_RC	Contig19698_RC	EPB41L4B
Contig19700_RC	Contig19700_RC	NA
Contig1970_RC	Contig1970_RC	NA
Contig19715_RC	Contig19715_RC	NA
Contig19733_RC	Contig19733_RC	NA
Contig19768_RC	Contig19768_RC	NA
Contig19770_RC	Contig19770_RC	NA
Contig19778_RC	Contig19778_RC	NA
Contig1977_RC	Contig1977_RC	FNDC4
Contig19780_RC	Contig19780_RC	NA
Contig19803_RC	Contig19803_RC	NA
Contig19813_RC	Contig19813_RC	NA
Contig19822_RC	Contig19822_RC	NA
Contig19829_RC	Contig19829_RC	NA
Contig1982_RC	Contig1982_RC	HMBOX1
Contig19834_RC	Contig19834_RC	NA
Contig19865_RC	Contig19865_RC	NA
Contig19866_RC	Contig19866_RC	NA
Contig19877_RC	Contig19877_RC	NA
Contig1990_RC	Contig1990_RC	SHKBP1
Contig19918_RC	Contig19918_RC	NA
Contig1991_RC	Contig1991_RC	PGA5
Contig19927_RC	Contig19927_RC	NA
Contig19928_RC	Contig19928_RC	NA
Contig19931_RC	Contig19931_RC	NA
Contig19940_RC	Contig19940_RC	NA
Contig19956_RC	Contig19956_RC	NA
Contig19982_RC	Contig19982_RC	NA
Contig1998_RC	Contig1998_RC	NA
Contig19999_RC	Contig19999_RC	NA
Contig19_RC	Contig19_RC	BBS1
Contig20	Contig20	KLHL22
Contig20016_RC	Contig20016_RC	NA
Contig20024_RC	Contig20024_RC	NA
Contig20048_RC	Contig20048_RC	NA
Contig20059_RC	Contig20059_RC	NA
Contig20072_RC	Contig20072_RC	NA
Contig2008_RC	Contig2008_RC	PRRC1
Contig20098_RC	Contig20098_RC	NA
Contig20105_RC	Contig20105_RC	NA
Contig2010_RC	Contig2010_RC	NA
Contig20112_RC	Contig20112_RC	NA
Contig2012	Contig2012	NA
Contig20137_RC	Contig20137_RC	NA
Contig20156_RC	Contig20156_RC	NA
Contig20164_RC	Contig20164_RC	PKHD1
Contig20166_RC	Contig20166_RC	NA
Contig20174_RC	Contig20174_RC	NA
Contig20176_RC	Contig20176_RC	NA
Contig20184_RC	Contig20184_RC	NA
Contig20195_RC	Contig20195_RC	NA
Contig20197_RC	Contig20197_RC	NA
Contig20201_RC	Contig20201_RC	OXER1
Contig20214_RC	Contig20214_RC	NA
Contig20217_RC	Contig20217_RC	NA
Contig2022_RC	Contig2022_RC	NA
Contig20239_RC	Contig20239_RC	NA
Contig20269_RC	Contig20269_RC	NA
Contig20280_RC	Contig20280_RC	NA
Contig20282_RC	Contig20282_RC	NA
Contig20286_RC	Contig20286_RC	NA
Contig20302_RC	Contig20302_RC	NA
Contig20304_RC	Contig20304_RC	NA
Contig20328_RC	Contig20328_RC	NA
Contig20343_RC	Contig20343_RC	NA
Contig2034_RC	Contig2034_RC	LEPRE1
Contig20353_RC	Contig20353_RC	NA
Contig20355_RC	Contig20355_RC	NA
Contig20361_RC	Contig20361_RC	NA
Contig20367_RC	Contig20367_RC	NA
Contig20370_RC	Contig20370_RC	NA
Contig20372_RC	Contig20372_RC	NA
Contig20377_RC	Contig20377_RC	NA
Contig20383_RC	Contig20383_RC	NA
Contig20391_RC	Contig20391_RC	NA
Contig20399_RC	Contig20399_RC	NA
Contig20404_RC	Contig20404_RC	NA
Contig2041_RC	Contig2041_RC	NA
Contig20427_RC	Contig20427_RC	NA
Contig20428_RC	Contig20428_RC	NA
Contig20436_RC	Contig20436_RC	NA
Contig20441_RC	Contig20441_RC	NA
Contig20467_RC	Contig20467_RC	NA
Contig20478_RC	Contig20478_RC	NA
Contig20489_RC	Contig20489_RC	NA
Contig20501_RC	Contig20501_RC	NA
Contig20504_RC	Contig20504_RC	NA
Contig20512_RC	Contig20512_RC	NA
Contig20526_RC	Contig20526_RC	NA
Contig20535_RC	Contig20535_RC	NA
Contig20543_RC	Contig20543_RC	NA
Contig20547_RC	Contig20547_RC	NA
Contig20548_RC	Contig20548_RC	NA
Contig20550_RC	Contig20550_RC	NA
Contig20552_RC	Contig20552_RC	DCLRE1B
Contig20560_RC	Contig20560_RC	TTC30B
Contig20562_RC	Contig20562_RC	NA
Contig20565_RC	Contig20565_RC	NA
Contig20568_RC	Contig20568_RC	NA
Contig20572	Contig20572	NA
Contig20573_RC	Contig20573_RC	TOR1AIP2
Contig20575_RC	Contig20575_RC	NA
Contig20598_RC	Contig20598_RC	NA
Contig20600_RC	Contig20600_RC	NA
Contig20603_RC	Contig20603_RC	NA
Contig20604_RC	Contig20604_RC	NA
Contig20615_RC	Contig20615_RC	NA
Contig20617_RC	Contig20617_RC	NA
Contig20623_RC	Contig20623_RC	NA
Contig20627_RC	Contig20627_RC	NA
Contig20629_RC	Contig20629_RC	NA
Contig20630	Contig20630	NA
Contig20635_RC	Contig20635_RC	NA
Contig20640_RC	Contig20640_RC	NA
Contig20642_RC	Contig20642_RC	NA
Contig20645_RC	Contig20645_RC	NA
Contig20651_RC	Contig20651_RC	RNF138
Contig20654_RC	Contig20654_RC	NA
Contig20655_RC	Contig20655_RC	FSD1L
Contig20663_RC	Contig20663_RC	NA
Contig20666_RC	Contig20666_RC	NA
Contig20667_RC	Contig20667_RC	NA
Contig20669_RC	Contig20669_RC	NA
Contig20674_RC	Contig20674_RC	NA
Contig20677_RC	Contig20677_RC	NA
Contig20685_RC	Contig20685_RC	NA
Contig20686_RC	Contig20686_RC	NA
Contig2068_RC	Contig2068_RC	NA
Contig20695_RC	Contig20695_RC	NA
Contig20697_RC	Contig20697_RC	LONRF2
Contig20698_RC	Contig20698_RC	NA
Contig20699_RC	Contig20699_RC	NA
Contig20708_RC	Contig20708_RC	NA
Contig20711_RC	Contig20711_RC	C1orf88
Contig20729_RC	Contig20729_RC	NA
Contig20738_RC	Contig20738_RC	NA
Contig20740_RC	Contig20740_RC	NA
Contig20743_RC	Contig20743_RC	NA
Contig20745_RC	Contig20745_RC	NA
Contig20748_RC	Contig20748_RC	NA
Contig20749_RC	Contig20749_RC	NA
Contig20753_RC	Contig20753_RC	NA
Contig20755	Contig20755	NA
Contig20766_RC	Contig20766_RC	MSRB2
Contig20780_RC	Contig20780_RC	NA
Contig20781_RC	Contig20781_RC	NA
Contig20793_RC	Contig20793_RC	FAM5C
Contig20795_RC	Contig20795_RC	NA
Contig20796_RC	Contig20796_RC	NA
Contig20799_RC	Contig20799_RC	SPRN
Contig207_RC	Contig207_RC	UBE1DC1
Contig20805_RC	Contig20805_RC	NA
Contig20807_RC	Contig20807_RC	NA
Contig20816_RC	Contig20816_RC	NA
Contig2082_RC	Contig2082_RC	C14orf173
Contig20830_RC	Contig20830_RC	NA
Contig20839_RC	Contig20839_RC	NA
Contig20843_RC	Contig20843_RC	NA
Contig20844_RC	Contig20844_RC	NA
Contig20846_RC	Contig20846_RC	NA
Contig20847_RC	Contig20847_RC	NA
Contig20864_RC	Contig20864_RC	TMEM180
Contig20866_RC	Contig20866_RC	NA
Contig20869_RC	Contig20869_RC	NA
Contig20871_RC	Contig20871_RC	NA
Contig20875_RC	Contig20875_RC	CMTM5
Contig20879	Contig20879	NA
Contig2087_RC	Contig2087_RC	REG4
Contig20886_RC	Contig20886_RC	NA
Contig20889_RC	Contig20889_RC	NA
Contig20895_RC	Contig20895_RC	NA
Contig20898_RC	Contig20898_RC	NA
Contig20901_RC	Contig20901_RC	NA
Contig20904_RC	Contig20904_RC	NA
Contig20907_RC	Contig20907_RC	NA
Contig20908_RC	Contig20908_RC	NA
Contig20913_RC	Contig20913_RC	ACTR5
Contig20914_RC	Contig20914_RC	NA
Contig20917_RC	Contig20917_RC	NA
Contig20918_RC	Contig20918_RC	NA
Contig20926_RC	Contig20926_RC	BUD13
Contig20937_RC	Contig20937_RC	DPEP3
Contig20953_RC	Contig20953_RC	NA
Contig20955_RC	Contig20955_RC	NA
Contig20956_RC	Contig20956_RC	NA
Contig20977_RC	Contig20977_RC	NA
Contig20979_RC	Contig20979_RC	RSPO2
Contig20980_RC	Contig20980_RC	NA
Contig20985_RC	Contig20985_RC	NA
Contig20987_RC	Contig20987_RC	NA
Contig20989	Contig20989	NA
Contig20999_RC	Contig20999_RC	NA
Contig2099_RC	Contig2099_RC	TTYH3
Contig21000_RC	Contig21000_RC	NA
Contig21006_RC	Contig21006_RC	NA
Contig21010_RC	Contig21010_RC	NA
Contig21011_RC	Contig21011_RC	NA
Contig21015_RC	Contig21015_RC	NA
Contig21020_RC	Contig21020_RC	NA
Contig21021_RC	Contig21021_RC	CHST9
Contig21023_RC	Contig21023_RC	NA
Contig21039_RC	Contig21039_RC	NA
Contig21063_RC	Contig21063_RC	NA
Contig21065_RC	Contig21065_RC	NA
Contig21072_RC	Contig21072_RC	NA
Contig21077_RC	Contig21077_RC	NA
Contig21079_RC	Contig21079_RC	FBXW2
Contig2108_RC	Contig2108_RC	EEF1A1
Contig21098_RC	Contig21098_RC	NA
Contig21100_RC	Contig21100_RC	NA
Contig21109_RC	Contig21109_RC	NA
Contig21116_RC	Contig21116_RC	NA
Contig21120_RC	Contig21120_RC	NA
Contig21121_RC	Contig21121_RC	NA
Contig21130_RC	Contig21130_RC	NA
Contig21136_RC	Contig21136_RC	NA
Contig21140_RC	Contig21140_RC	NA
Contig21141_RC	Contig21141_RC	NA
Contig21143_RC	Contig21143_RC	NA
Contig2115_RC	Contig2115_RC	AKT1S1
Contig21174_RC	Contig21174_RC	NA
Contig21177_RC	Contig21177_RC	NA
Contig21180_RC	Contig21180_RC	NA
Contig21185_RC	Contig21185_RC	NA
Contig21187_RC	Contig21187_RC	NA
Contig21189_RC	Contig21189_RC	NA
Contig21190_RC	Contig21190_RC	NA
Contig21191_RC	Contig21191_RC	NA
Contig21192	Contig21192	NA
Contig21193_RC	Contig21193_RC	NA
Contig21197_RC	Contig21197_RC	NA
Contig21199_RC	Contig21199_RC	CSMD3
Contig21200_RC	Contig21200_RC	NA
Contig21202_RC	Contig21202_RC	NA
Contig21219_RC	Contig21219_RC	NA
Contig21225_RC	Contig21225_RC	ABHD9
Contig21233_RC	Contig21233_RC	NA
Contig21239_RC	Contig21239_RC	NA
Contig21243_RC	Contig21243_RC	NA
Contig21258_RC	Contig21258_RC	NA
Contig21268_RC	Contig21268_RC	ZNF694
Contig21269_RC	Contig21269_RC	NA
Contig21271_RC	Contig21271_RC	NA
Contig21272_RC	Contig21272_RC	NA
Contig21275	Contig21275	NA
Contig21282_RC	Contig21282_RC	NA
Contig21307	Contig21307	HECTD1
Contig21319_RC	Contig21319_RC	NA
Contig21325_RC	Contig21325_RC	NA
Contig21338_RC	Contig21338_RC	NA
Contig21340_RC	Contig21340_RC	NA
Contig21352_RC	Contig21352_RC	NA
Contig21353_RC	Contig21353_RC	NA
Contig21355_RC	Contig21355_RC	CRX
Contig21370_RC	Contig21370_RC	NA
Contig21388_RC	Contig21388_RC	NA
Contig21391_RC	Contig21391_RC	NA
